Tarih,Cadde,Enlem,Boylam,Yogunluk,Renk,Durum,Saat,Gun
2025-07-28 05:04:13.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,24,Yesil,Acik,5,0
2025-07-05 16:41:09.274093,Altınyol (Anadolu Cad.),38.456,27.175,58,Turuncu,Akici Yogun,16,5
2025-10-16 06:11:09.274093,Manas Bulvarı,38.45,27.2,28,Yesil,Acik,6,3
2025-10-30 16:28:36.274093,Yeşildere Caddesi,38.405,27.155,26,Yesil,Acik,16,3
2025-08-01 03:24:52.274093,Manas Bulvarı,38.45,27.2,23,Yesil,Acik,3,4
2025-12-05 18:51:25.274093,Manas Bulvarı,38.45,27.2,71,Kirmizi,Cok Yogun,18,4
2025-11-26 21:51:53.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,14,Yesil,Acik,21,2
2025-08-26 17:47:33.274093,Altınyol (Anadolu Cad.),38.456,27.175,85,Kirmizi,Cok Yogun,17,1
2025-09-06 18:29:43.274093,Altınyol (Anadolu Cad.),38.456,27.175,13,Yesil,Acik,18,5
2025-10-02 14:58:13.274093,Yeşildere Caddesi,38.405,27.155,26,Yesil,Acik,14,3
2025-10-24 02:38:41.274093,Manas Bulvarı,38.45,27.2,17,Yesil,Acik,2,4
2025-09-11 06:26:22.274093,Mustafa Kemal Sahil Blv,38.4115,27.128,24,Yesil,Acik,6,3
2025-11-18 23:28:40.274093,Talatpaşa Bulvarı,38.432,27.142,26,Yesil,Acik,23,1
2025-12-05 14:38:53.274093,Yeşildere Caddesi,38.405,27.155,14,Yesil,Acik,14,4
2025-11-21 09:09:54.274093,Altınyol (Anadolu Cad.),38.456,27.175,79,Kirmizi,Cok Yogun,9,4
2025-08-26 21:28:45.274093,Yeşildere Caddesi,38.405,27.155,28,Yesil,Acik,21,1
2025-07-20 19:53:36.274093,Manas Bulvarı,38.45,27.2,27,Yesil,Acik,19,6
2025-08-03 23:32:48.274093,Manas Bulvarı,38.45,27.2,22,Yesil,Acik,23,6
2025-08-17 07:32:32.274093,Altınyol (Anadolu Cad.),38.456,27.175,13,Yesil,Acik,7,6
